fips,state,densityMi,pop2023,pop2022,pop2020,pop2019,pop2010,growthRate,growth,growthSince2010,name,id,averageSatReading,averageSatMath,averageSatScore
27,Minnesota,73.18202,5827265,5787008,5706494,5666238,5303925,0.00696,40257,0.09867,St. Paul,2758000,644,651,1295
55,Wisconsin,109.96966,5955737,5935064,5893718,5873043,5686986,0.00348,20673,0.04726,Madison,5548000,642,649,1291
19,Iowa,57.89018,3233572,3219171,3190369,3175964,3046355,0.00447,14401,0.06146,Des Moines,1921000,641,635,1276
29,Missouri,90.26083,6204710,6188111,6154913,6138318,5988927,0.00268,16599,0.03603,Jefferson City,2937000,640,631,1271
20,Kansas,36.24443,2963308,2954832,2937880,2929402,2853118,0.00287,8476,0.03862,Topeka,2071000,632,628,1260
38,North Dakota,11.75409,811044,800394,779094,768441,672591,0.01331,10650,0.20585,Bismarck,3807200,635,621,1256
31,Nebraska,26.06024,2002052,1988536,1961504,1947985,1826341,0.0068,13516,0.09621,Lincoln,3128000,629,625,1254
21,Kentucky,115.37702,4555777,4539130,4505836,4489190,4339367,0.00367,16647,0.04987,Frankfort,2128900,631,616,1247
28,Mississippi,63.07084,2959473,2960075,2961279,2961879,2967297,-2e-4,-602,-0.00264,Jackson,2836000,634,607,1241
49,Utah,41.66892,3423935,3373162,3271616,3220842,2763885,0.01505,50773,0.23881,Salt Lake City,4967000,624,614,1238
56,Wyoming,5.98207,580817,579495,576851,575524,563626,0.00228,1322,0.0305,Cheyenne,5613900,626,604,1230
47,Tennessee,171.70515,7080262,7023788,6910840,6854371,6346105,0.00804,56474,0.11569,Nashville,4752006,623,604,1227
46,South Dakota,11.98261,908414,901165,886667,879421,814180,0.00804,7249,0.11574,Pierre,4649600,612,603,1215
5,Arkansas,58.42619,3040207,3030646,3011524,3001967,2915918,0.00315,9561,0.04262,Little Rock,541000,614,594,1208
8,Colorado,57.86332,5997070,5922618,5773714,5699264,5029196,0.01257,74452,0.19245,Denver,820000,606,595,1201
22,Louisiana,108.67214,4695071,4682633,4657757,4645314,4533372,0.00266,12438,0.03567,Baton Rouge,2205000,611,586,1197
30,Montana,7.64479,1112668,1103187,1084225,1074744,989415,0.00859,9481,0.12457,Helena,3035600,605,591,1196
1,Alabama,100.65438,5097641,5073187,5024279,4999822,4779736,0.00482,24454,0.06651,Montgomery,151000,593,572,1165
39,Ohio,290.70091,11878330,11852036,11799448,11773150,11536504,0.00222,26294,0.02963,Columbus,3918000,578,570,1148
35,New Mexico,17.60148,2135024,2129190,2117522,2111685,2059179,0.00274,5834,0.03683,Santa Fe,3570500,557,561,1118
4,Arizona,64.96246,7379346,7303398,7151502,7075549,6392017,0.0104,75948,0.15446,Phoenix,455000,563,553,1116
32,Nevada,29.38425,3225832,3185426,3104614,3064205,2700551,0.01268,40406,0.19451,Carson City,3209700,563,553,1116
17,Illinois,230.67908,12807072,12808884,12812508,12814324,12830632,-1.4e-4,-1812,-0.00184,Springfield,1772000,559,556,1115
50,Vermont,70.33514,648279,646545,643077,641347,625741,0.00268,1734,0.03602,Montpelier,5046000,562,551,1113
41,Oregon,45.41307,4359110,4318492,4237256,4196636,3831074,0.00941,40618,0.13783,Salem,4164900,560,548,1108
25,Massachusetts,919.82103,7174604,7126375,7029917,6981690,6547629,0.00677,48229,0.09576,Boston,2507000,555,551,1106
51,Virginia,223.36045,8820504,8757467,8631393,8568357,8001024,0.0072,63037,0.10242,Richmond,5167000,561,541,1102
2,Alaska,1.29738,740339,738023,733391,731075,710231,0.00314,2316,0.04239,Juneau,236400,547,553,1100
54,West Virginia,73.88019,1775932,1781860,1793716,1799642,1852994,-0.00333,-5928,-0.04159,Charleston,5414600,558,528,1086
15,Hawaii,231.00763,1483762,1474265,1455271,1445774,1360301,0.00644,9497,0.09076,Honolulu,1571550,544,541,1085
37,North Carolina,220.30026,10710558,10620168,10439388,10348993,9535483,0.00851,90390,0.12323,Raleigh,3755000,546,535,1081
53,Washington,120.37292,7999503,7901429,7705281,7607206,6724540,0.01241,98074,0.1896,Olympia,5351300,541,534,1075
18,Indiana,191.92896,6876047,6845874,6785528,6755359,6483802,0.00441,30173,0.0605,Indianapolis,1836003,542,532,1074
42,Pennsylvania,292.62222,13092796,13062764,13002700,12972667,12702379,0.0023,30032,0.03074,Harrisburg,4232800,540,531,1071
45,South Carolina,175.18855,5266343,5217037,5118425,5069118,4625364,0.00945,49306,0.13858,Columbia,4516000,543,521,1064
44,Rhode Island,1074.29594,1110822,1106341,1097379,1092896,1052567,0.00405,4481,0.05535,Providence,4459000,539,524,1063
24,Maryland,648.84362,6298325,6257958,6177224,6136855,5773552,0.00645,40367,0.09089,Annapolis,2401600,536,524,1060
