company,barName,REF,reviewDate,cocoaPercent,companyLocation,rating,beanType,broadBeanOrigin,SouthAmericaCo,SouthAmericaBeans
A. Morin,Agua Grande,1876,2016,0.63,FRANCE,3.75,NA,SAO TOME,NO,NO
A. Morin,Kpime,1676,2015,0.7,FRANCE,2.75,NA,TOGO,NO,NO
A. Morin,Atsane,1676,2015,0.7,FRANCE,3,NA,TOGO,NO,NO
A. Morin,Akata,1680,2015,0.7,FRANCE,3.5,NA,TOGO,NO,NO
A. Morin,Quilla,1704,2015,0.7,FRANCE,3.5,NA,PERU,NO,YES
A. Morin,Carenero,1315,2014,0.7,FRANCE,2.75,Criollo,VENEZUELA,NO,YES
A. Morin,Cuba,1315,2014,0.7,FRANCE,3.5,NA,CUBA,NO,NO
A. Morin,Sur del Lago,1315,2014,0.7,FRANCE,3.5,Criollo,VENEZUELA,NO,YES
A. Morin,Puerto Cabello,1319,2014,0.7,FRANCE,3.75,Criollo,VENEZUELA,NO,YES
A. Morin,Pablino,1319,2014,0.7,FRANCE,4,NA,PERU,NO,YES
A. Morin,Panama,1011,2013,0.7,FRANCE,2.75,NA,PANAMA,NO,NO
A. Morin,Madagascar,1011,2013,0.7,FRANCE,3,Criollo,MADAGASCAR,NO,NO
A. Morin,Brazil,1011,2013,0.7,FRANCE,3.25,NA,BRAZIL,NO,YES
A. Morin,Equateur,1011,2013,0.7,FRANCE,3.75,NA,ECUADOR,NO,YES
A. Morin,Colombie,1015,2013,0.7,FRANCE,2.75,NA,COLOMBIA,NO,YES
A. Morin,Birmanie,1015,2013,0.7,FRANCE,3,NA,BURMA,NO,NO
A. Morin,Papua New Guinea,1015,2013,0.7,FRANCE,3.25,NA,PAPUA NEW GUINEA,NO,NO
A. Morin,Chuao,1015,2013,0.7,FRANCE,4,Trinitario,VENEZUELA,NO,YES
A. Morin,Piura,1019,2013,0.7,FRANCE,3.25,NA,PERU,NO,YES
A. Morin,Chanchamayo Province,1019,2013,0.7,FRANCE,3.5,NA,PERU,NO,YES
A. Morin,Chanchamayo Province,1019,2013,0.63,FRANCE,4,NA,PERU,NO,YES
A. Morin,Bolivia,797,2012,0.7,FRANCE,3.5,NA,BOLIVIA,NO,YES
A. Morin,Peru,797,2012,0.63,FRANCE,3.75,NA,PERU,NO,YES
Acalli,"Chulucanas, El Platanal",1462,2015,0.7,U.S.A.,3.75,NA,PERU,NO,YES
Acalli,"Tumbes, Norandino",1470,2015,0.7,U.S.A.,3.75,Criollo,PERU,NO,YES
Adi,Vanua Levu,705,2011,0.6,FIJI,2.75,Trinitario,FIJI,NO,NO
Adi,"Vanua Levu, Toto-A",705,2011,0.8,FIJI,3.25,Trinitario,FIJI,NO,NO
Adi,Vanua Levu,705,2011,0.88,FIJI,3.5,Trinitario,FIJI,NO,NO
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,0.72,FIJI,3.5,Trinitario,FIJI,NO,NO
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,0.55,ECUADOR,2.75,Forastero (Arriba),ECUADOR,YES,YES
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,0.7,ECUADOR,3,Forastero (Arriba),ECUADOR,YES,YES
Ah Cacao,Tabasco,316,2009,0.7,MEXICO,3,Criollo,MEXICO,NO,NO
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,0.75,SWITZERLAND,3.75,Trinitario,INDONESIA,NO,NO
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,0.75,SWITZERLAND,2.75,Criollo,MADAGASCAR,NO,NO
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,0.75,SWITZERLAND,2.75,Forastero,BRAZIL,NO,YES
Alain Ducasse,Trinite,1215,2014,0.65,FRANCE,2.75,Trinitario,TRINIDAD,NO,NO
Alain Ducasse,Vietnam,1215,2014,0.75,FRANCE,2.75,Trinitario,VIETNAM,NO,NO
Alain Ducasse,Madagascar,1215,2014,0.75,FRANCE,3,Trinitario,MADAGASCAR,NO,NO
Alain Ducasse,Chuao,1061,2013,0.75,FRANCE,2.5,Trinitario,VENEZUELA,NO,YES
Alain Ducasse,"Piura, Perou",1173,2013,0.75,FRANCE,2.5,NA,PERU,NO,YES
Alexandre,"Winak Coop, Napo",1944,2017,0.7,NETHERLANDS,3.5,Forastero (Nacional),ECUADOR,NO,YES
Alexandre,"La Dalia, Matagalpa",1944,2017,0.7,NETHERLANDS,3.5,"Criollo, Trinitario",NICARAGUA,NO,NO
Alexandre,Tien Giang,1944,2017,0.7,NETHERLANDS,3.5,Trinitario,VIETNAM,NO,NO
Alexandre,"Makwale Village, Kyela",1944,2017,0.7,NETHERLANDS,3.5,Forastero,TANZANIA,NO,NO
Altus aka Cao Artisan,Momotombo,1728,2016,0.6,U.S.A.,2.75,NA,NICARAGUA,NO,NO
Altus aka Cao Artisan,Acopagro,1728,2016,0.6,U.S.A.,3,NA,PERU,NO,YES
